current_salary,skills,recommended_role,success_score
396170,"Sales, HTML, Project Management, Agile, Statistics",Frontend Developer,0.89
607457,"CSS, Figma, Node.js",Frontend Developer,0.88
680696,"Node.js, AWS",DevOps Engineer,0.79
496254,"Docker, Tableau, HTML, Project Management, Agile",Frontend Developer,0.97
466187,"CSS, Customer Service, React, Sales",Frontend Developer,0.85
302336,"Project Management, Node.js, Marketing",Product Manager,0.74
200000,"Python, Marketing, Customer Service, Machine Learning, JavaScript",DevOps Engineer,0.72
489552,"Docker, HTML",Frontend Developer,0.8
200000,"Excel, Docker",Data Analyst,0.75
427874,"Node.js, Statistics",Backend Developer,0.84
330681,"HTML, AWS",Frontend Developer,0.96
655201,"CSS, Figma, Agile, Sales, Marketing",Frontend Developer,0.97
680911,"Customer Service, Tableau, Marketing",Data Analyst,0.98
253971,"JavaScript, Docker, Project Management, Sales",Product Manager,0.98
605400,"CSS, HTML",Frontend Developer,0.88
517563,"HTML, Agile, JavaScript",Frontend Developer,0.78
544354,"Node.js, Python, Figma",UX/UI Designer,0.79
905236,"Customer Service, Agile, Excel, React, Statistics",Frontend Developer,0.71
692489,"Project Management, AWS, Sales, JavaScript, SQL",Data Analyst,0.81
530422,"HTML, Statistics, Agile",Frontend Developer,0.94
453899,"Node.js, Docker, Agile, Figma",Product Manager,0.73
200000,"Customer Service, SQL, Project Management, HTML",Frontend Developer,0.93
791036,"JavaScript, HTML",Frontend Developer,0.85
946354,"Project Management, Customer Service, Python, Node.js, Agile",Product Manager,0.98
837091,"Marketing, Python",Data Analyst,0.95
625970,"Figma, Machine Learning, CSS, Docker",Frontend Developer,0.9
380193,"HTML, Statistics, Excel, Machine Learning",Frontend Developer,0.93
527254,"React, Machine Learning",Frontend Developer,0.87
263371,"Figma, AWS, Agile, Statistics, Python",Product Manager,0.94
707711,"Tableau, Excel, JavaScript, SQL",Data Analyst,0.88
500749,"Project Management, Figma, CSS, Node.js",Frontend Developer,0.98
864571,"SQL, Agile, Tableau",Data Analyst,0.93
703763,"Statistics, Python, Machine Learning, SQL",Data Scientist,0.91
639361,"Agile, Excel, Tableau, Figma",Data Analyst,1.0
640516,"Sales, HTML, Marketing, Project Management",Frontend Developer,0.91
554545,"Statistics, Agile, AWS, Customer Service, Tableau",Data Analyst,0.91
649954,"Marketing, Machine Learning, Customer Service, CSS, Tableau",Frontend Developer,0.8
416635,"Python, Project Management, Node.js",Product Manager,0.94
611766,"Node.js, Excel, CSS, JavaScript",Frontend Developer,0.81
476723,"React, HTML, Machine Learning, Node.js",Frontend Developer,0.85
419549,"Project Management, HTML, Agile, Tableau",Frontend Developer,0.81
554111,"React, Sales, Python, Excel, Customer Service",Frontend Developer,0.83
719649,"React, HTML, Customer Service",Frontend Developer,0.98
553690,"Tableau, Docker, Python, SQL",Data Analyst,0.92
520479,"CSS, Python",Frontend Developer,0.9
290767,"AWS, Machine Learning",DevOps Engineer,0.89
504769,"JavaScript, Project Management, Machine Learning, Docker",Product Manager,0.83
578460,"JavaScript, Statistics, React",Frontend Developer,0.71
200000,"Node.js, AWS, Project Management, Customer Service, Marketing",Product Manager,0.89
541090,"JavaScript, AWS, Tableau, Node.js",Data Analyst,0.84
367298,"SQL, Figma, Tableau, Excel",Data Analyst,0.84
822287,"Figma, Statistics",UX/UI Designer,0.99
647134,"Python, React",Frontend Developer,0.92
541222,"AWS, Tableau",Data Analyst,0.9
268178,"React, Statistics, Sales, Customer Service",Frontend Developer,0.88
548613,"Sales, HTML, SQL",Frontend Developer,0.81
549964,"Docker, Project Management",Product Manager,0.71
538591,"CSS, Statistics, JavaScript, AWS, SQL",Frontend Developer,0.9
200000,"AWS, Marketing, HTML, Node.js",Frontend Developer,0.92
438626,"Agile, CSS, Marketing, Node.js, Sales",Frontend Developer,0.86
200000,"Docker, Machine Learning, Sales, Customer Service, Marketing",DevOps Engineer,0.85
321650,"Marketing, Agile, SQL",Data Analyst,0.8
836651,"Tableau, Machine Learning, Docker, Node.js, Agile",Data Analyst,0.98
692689,"Figma, Marketing, Python",UX/UI Designer,0.84
409747,"Python, Customer Service, SQL, Excel, React",Frontend Developer,0.9
680018,"Agile, CSS, SQL",Frontend Developer,0.85
625709,"CSS, AWS",Frontend Developer,0.73
428350,"Marketing, JavaScript",Full Stack Developer,0.83
719751,"React, Sales",Frontend Developer,0.81
423845,"JavaScript, Marketing",DevOps Engineer,0.72
445872,"React, Statistics, Figma, Sales, Node.js",Frontend Developer,0.97
395900,"JavaScript, CSS",Frontend Developer,0.78
200000,"Python, React, Agile, Project Management, AWS",Frontend Developer,0.76
507434,"React, Project Management",Frontend Developer,0.73
509808,"CSS, SQL",Frontend Developer,0.84
993026,"SQL, AWS, React, Excel, Project Management",Frontend Developer,0.86
561833,"Node.js, Agile, Customer Service",Product Manager,0.87
393934,"Project Management, HTML",Frontend Developer,0.76
200000,"Tableau, Statistics, AWS, JavaScript",Data Analyst,0.88
500941,"Docker, AWS, Machine Learning",DevOps Engineer,0.93
657836,"Sales, JavaScript, Excel",Data Analyst,0.86
632228,"Marketing, Node.js, HTML",Frontend Developer,0.78
478541,"Figma, Excel, Sales, Marketing",Data Analyst,0.96
666964,"Tableau, Project Management, JavaScript, Marketing, SQL",Data Analyst,0.92
222850,"Statistics, CSS, Agile, Marketing",Frontend Developer,0.87
442767,"Node.js, SQL",Data Analyst,0.8
552805,"Project Management, Tableau, AWS, Marketing",Data Analyst,0.72
392860,"Agile, React, HTML, AWS",Frontend Developer,0.74
663359,"Docker, Marketing, JavaScript",DevOps Engineer,0.83
459439,"Machine Learning, SQL, HTML, AWS, Marketing",Frontend Developer,0.91
708106,"Docker, Statistics, Excel",Data Analyst,0.95
200000,"Machine Learning, SQL, AWS",Data Analyst,0.79
514657,"CSS, SQL, Excel",Frontend Developer,0.94
731501,"Agile, React, Marketing",Frontend Developer,0.74
317620,"Figma, Sales, Docker",UX/UI Designer,0.8
503124,"Figma, AWS, Project Management, Customer Service",Product Manager,0.8
602646,"Customer Service, Python, Tableau",Data Analyst,0.86
517767,"Figma, Sales, CSS, Tableau, AWS",Frontend Developer,0.98
544494,"Customer Service, Python, HTML, Agile, Figma",Frontend Developer,0.96
306860,"Python, Node.js",Backend Developer,0.99
455026,"Python, Node.js",Backend Developer,0.99
504258,"Python, SQL",Data Analyst,0.77
745079,"Figma, Node.js, Customer Service, Docker",UX/UI Designer,0.98
492153,"AWS, HTML, Docker, Project Management, Tableau",Frontend Developer,0.92
787401,"Statistics, Python, Machine Learning",Full Stack Developer,0.84
391024,"Customer Service, Machine Learning, Figma, Node.js, Tableau",Data Analyst,0.97
626895,"Node.js, HTML, Machine Learning, Docker",Frontend Developer,0.99
516486,"Agile, React, Customer Service",Frontend Developer,0.86
571862,"Python, Excel, React, Agile",Frontend Developer,0.85
338650,"Node.js, Project Management, Python",Product Manager,0.99
